L,0
R,16.5839
L,5.14145
R,2.41574
L,1.20746
R,1.89673
L,0.776586
R,1.73877
L,0.290543
R,0.373271
L,0.483208
R,2.40438
L,3.44912
R,3.71982
L,0.269853
R,1.25756
L,10.1802
R,1.9531
L,3.37594
R,1.52495
L,2.05655
R,3.9856
L,3.34885
R,0.534839
L,0.244247
R,3.29674
L,2.55889
R,4.4704
L,0.631843
R,2.52357
L,0.356228
R,6.5703
L,0.607831
R,6.81621
L,0.627588
R,4.38795
L,2.7675
R,4.53328
L,0.99225
R,3.83609
L,1.66008
R,2.11397
L,2.19839
R,0.933195
L,0.377619
R,1.31943
L,0.851991
R,0.960039
L,3.16932
R,3.40106
L,2.32414
R,10.4945
L,0.890504
R,0.161527
L,0.413049
R,1.65989
L,2.41498
R,3.69932
L,0.897713
R,2.39292
L,0.477658
R,1.07223
L,0.315918
R,1.72226
L,0.262148
R,0.699371
L,0.475786
R,4.22243
L,0.323223
R,1.77625
L,0.275014
R,3.26328
L,2.30305
R,0.906797
L,0.853442
R,0.654825
L,0.370287
R,0.181709
L,2.45359
R,0.71618
L,4.16469
R,4.09116
L,1.06461
R,0.326496
L,1.34928
R,2.30056
L,3.97405
R,0.577988
L,4.1628
R,1.04968
L,2.97382
R,2.62071
L,0.749973
R,7.1797
L,0.857253
R,2.66208
L,2.02551
R,4.90992
L,0.00819028
R,9.75101
L,5.14206
R,4.13442
L,1.03796
R,2.7838
L,2.05125
R,2.11691
L,1.00687
R,1.34344
L,1.36904
R,0.779311
L,0.344163
R,1.35798
L,1.08353
R,3.42983
L,2.27439
R,7.50501
L,3.84127
R,1.43532
L,0.0218042
R,1.9489
L,0.691578
R,0.27576
L,0.138116
R,6.24517
L,1.85513
R,6.24227
L,3.80286
R,1.98181
L,0.888238
R,2.32268
L,1.10532
R,6.51129
L,0.485547
R,1.8903
L,0.32507
R,2.94794
L,2.77738
R,3.24855
L,0.860763
R,10.1074
L,0.768536
R,3.1738
L,1.31706
R,5.58281
L,1.77828
R,2.26355
L,0.595079
R,1.31803
L,0.745002
R,0.310455
L,1.73448
R,2.01584
L,0.144893
R,1.88039
L,1.94043
R,2.57183
L,0.174196
R,0.902204
L,1.79316
R,1.05066
L,0.682844
R,4.07819
L,0.519583
R,5.77048
L,3.45912
R,0.999929
L,1.68597
R,1.91269
L,1.08216
R,1.52526
L,2.11803
R,4.59427
L,2.77739
